tahun,gk,provinsi,jenis,daerah,periode,tahun_kategori,cluster
2017.0,106778.99999999997,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,1
2017.0,107735.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,1
2018.0,117725.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,1
2018.0,125225.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,1
2019.0,144674.0,BENGKULU,NONMAKANAN,PERKOTAAN,MARET,2019-2020,1
2019.0,146663.0,BENGKULU,NONMAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,149257.0,BENGKULU,NONMAKANAN,PERKOTAAN,MARET,2020-2021,1
2020.0,150379.0,BENGKULU,NONMAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,1
2019.0,123409.0,BENGKULU,NONMAKANAN,PERDESAAN,MARET,2019-2020,1
2019.0,129890.0,BENGKULU,NONMAKANAN,PERDESAAN,SEPTEMBER,2019-2020,1
2020.0,131570.0,BENGKULU,NONMAKANAN,PERDESAAN,MARET,2020-2021,1
2020.0,132162.0,BENGKULU,NONMAKANAN,PERDESAAN,SEPTEMBER,2020-2021,1
2019.0,130448.99999999997,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2019-2020,1
2019.0,135407.00000000003,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,137419.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2020-2021,1
2020.0,138121.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,1
2021.0,155110.0,BENGKULU,NONMAKANAN,PERKOTAAN,MARET,2021-2022,1
2021.0,161688.0,BENGKULU,NONMAKANAN,PERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,167708.0,BENGKULU,NONMAKANAN,PERKOTAAN,MARET,,1
2022.0,178155.0,BENGKULU,NONMAKANAN,PERKOTAAN,SEPTEMBER,,1
2021.0,137715.99999999997,BENGKULU,NONMAKANAN,PERDESAAN,MARET,2021-2022,1
2021.0,142987.0,BENGKULU,NONMAKANAN,PERDESAAN,SEPTEMBER,2021-2022,1
2022.0,149208.0,BENGKULU,NONMAKANAN,PERDESAAN,MARET,,1
2022.0,162687.0,BENGKULU,NONMAKANAN,PERDESAAN,SEPTEMBER,,1
2021.0,143465.99999999997,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2021-2022,1
2021.0,149191.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,155362.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,MARET,,1
2022.0,167767.0,BENGKULU,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,,1
2013.0,328972.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2013-2014,2
2013.0,358294.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,362614.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2014-2015,2
2014.0,378881.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2014-2015,2
2013.0,281468.0,BENGKULU,TOTAL,PERDESAAN,MARET,2013-2014,2
2013.0,313265.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2013-2014,2
2014.0,325261.0,BENGKULU,TOTAL,PERDESAAN,MARET,2014-2015,2
2014.0,346395.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2014-2015,2
2013.0,313294.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2013-2014,2
2013.0,313294.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,313294.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2014-2015,2
2014.0,313294.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2014-2015,2
2015.0,397489.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2015-2016,2
2015.0,425642.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,430572.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2016-2017,2
2016.0,458435.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,372171.0,BENGKULU,TOTAL,PERDESAAN,MARET,2015-2016,2
2015.0,404179.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,409863.0,BENGKULU,TOTAL,PERDESAAN,MARET,2016-2017,2
2016.0,427315.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,380028.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,410840.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,416427.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,437185.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,477801.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2017-2018,2
2017.0,490475.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,516954.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2018-2019,0
2018.0,530655.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2018-2019,0
2017.0,438342.0,BENGKULU,TOTAL,PERDESAAN,MARET,2017-2018,2
2017.0,449857.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2017-2018,2
2018.0,465424.0,BENGKULU,TOTAL,PERDESAAN,MARET,2018-2019,0
2018.0,474010.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2018-2019,0
2017.0,450647.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2017-2018,2
2017.0,462768.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,481425.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2018-2019,0
2018.0,492114.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,0
2019.0,538508.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2019-2020,0
2019.0,568783.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,573222.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2020-2021,0
2020.0,576921.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2020-2021,0
2019.0,481918.0,BENGKULU,TOTAL,PERDESAAN,MARET,2019-2020,0
2019.0,499623.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2019-2020,0
2020.0,506010.0,BENGKULU,TOTAL,PERDESAAN,MARET,2020-2021,0
2020.0,509487.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2020-2021,0
2019.0,499660.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2019-2020,0
2019.0,520293.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,527032.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2020-2021,0
2020.0,530382.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,0
2021.0,604269.0,BENGKULU,TOTAL,PERKOTAAN,MARET,2021-2022,0
2021.0,624573.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,647836.0,BENGKULU,TOTAL,PERKOTAAN,MARET,,0
2022.0,686223.0,BENGKULU,TOTAL,PERKOTAAN,SEPTEMBER,,0
2021.0,524492.0,BENGKULU,TOTAL,PERDESAAN,MARET,2021-2022,0
2021.0,548327.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,2021-2022,0
2022.0,565952.0,BENGKULU,TOTAL,PERDESAAN,MARET,,0
2022.0,599973.0,BENGKULU,TOTAL,PERDESAAN,SEPTEMBER,,0
2021.0,548934.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,2021-2022,0
2021.0,572455.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,590755.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,MARET,,0
2022.0,625652.0,BENGKULU,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,,0
2015.0,260892.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,2015-2016,2
2015.0,274255.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,279240.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,2016-2017,2
2016.0,284222.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,251365.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,2015-2016,2
2015.0,264450.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,272168.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,2016-2017,2
2016.0,273647.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,253869.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,267028.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,274437.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,276216.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,302761.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,2017-2018,2
2017.0,307473.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,321620.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,2018-2019,2
2018.0,327530.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2018-2019,2
2017.0,285183.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,2017-2018,2
2017.0,286434.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,2017-2018,2
2018.0,293926.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,2018-2019,2
2018.0,299041.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,2018-2019,2
2017.0,289705.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,2
2017.0,291600.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,301234.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,2
2018.0,306926.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,2
2019.0,335947.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,2019-2020,0
2019.0,344994.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,364654.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,2020-2021,0
2020.0,367275.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,0
2019.0,304512.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,2019-2020,0
2019.0,318866.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,2019-2020,0
2020.0,333219.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,2020-2021,0
2020.0,335769.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,2020-2021,0
2019.0,313620.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2019-2020,0
2019.0,326364.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,342151.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2020-2021,0
2020.0,344944.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,0
2021.0,375720.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,2021-2022,0
2021.0,392074.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,412358.0,LAMPUNG,MAKANAN,PERKOTAAN,MARET,,0
2022.0,439148.0,LAMPUNG,MAKANAN,PERKOTAAN,SEPTEMBER,,0
2021.0,347870.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,2021-2022,0
2021.0,361365.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,2021-2022,0
2022.0,372425.0,LAMPUNG,MAKANAN,PERDESAAN,MARET,,0
2022.0,392553.0,LAMPUNG,MAKANAN,PERDESAAN,SEPTEMBER,,0
2021.0,356329.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2021-2022,0
2021.0,370907.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,384769.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,,0
2022.0,406732.0,LAMPUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,,0
2015.0,109948.0,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,2015-2016,2
2015.0,112473.0,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,113248.0,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,2016-2017,1
2016.0,114155.0,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,2016-2017,1
2015.0,74918.0,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,2015-2016,1
2015.0,81638.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,2015-2016,1
2016.0,82510.0,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,2016-2017,1
2016.0,84145.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,2016-2017,1
2015.0,84127.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2015-2016,1
2015.0,89744.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,1
2016.0,90485.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2016-2017,1
2016.0,92376.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,1
2017.0,117466.0,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,2017-2018,1
2017.0,119599.00000000003,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,2017-2018,1
2018.0,122626.00000000003,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,2018-2019,1
2018.0,125522.0,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,2018-2019,1
2017.0,86711.0,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,2017-2018,1
2017.0,90615.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,2017-2018,1
2018.0,92038.0,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,2018-2019,1
2018.0,93160.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,2018-2019,1
2017.0,95176.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,1
2017.0,98583.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,1
2018.0,101073.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,1
2018.0,102954.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,1
2019.0,127707.0,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,2019-2020,1
2019.0,132077.0,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,136066.0,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,2020-2021,1
2020.0,137055.0,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,1
2019.0,94424.99999999997,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,2019-2020,1
2019.0,97828.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,2019-2020,1
2020.0,100624.0,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,2020-2021,1
2020.0,101339.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,2020-2021,1
2019.0,104689.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2019-2020,1
2019.0,108311.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,1
2020.0,111581.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2020-2021,1
2020.0,112551.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,1
2021.0,140283.0,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,2021-2022,1
2021.0,143059.0,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,148109.0,LAMPUNG,NONMAKANAN,PERKOTAAN,MARET,,1
2022.0,156844.0,LAMPUNG,NONMAKANAN,PERKOTAAN,SEPTEMBER,,1
2021.0,103341.0,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,2021-2022,1
2021.0,111553.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,2021-2022,1
2022.0,120198.0,LAMPUNG,NONMAKANAN,PERDESAAN,MARET,,1
2022.0,130606.0,LAMPUNG,NONMAKANAN,PERDESAAN,SEPTEMBER,,1
2021.0,115109.99999999997,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,2021-2022,1
2021.0,121713.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,1
2022.0,129270.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,MARET,,1
2022.0,139260.0,LAMPUNG,NONMAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,,1
2013.0,310464.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2013-2014,2
2013.0,326468.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,336927.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2014-2015,2
2014.0,350024.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2014-2015,2
2013.0,265105.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2013-2014,2
2013.0,284504.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2013-2014,2
2014.0,295931.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2014-2015,2
2014.0,307818.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2014-2015,2
2013.0,313294.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2013-2014,2
2013.0,313294.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2013-2014,2
2014.0,313294.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2014-2015,2
2014.0,313294.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2014-2015,2
2015.0,370839.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2015-2016,2
2015.0,386728.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,392488.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2016-2017,2
2016.0,398378.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,326283.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2015-2016,2
2015.0,346088.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,354678.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2016-2017,2
2016.0,357792.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,337996.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,356772.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,364922.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,368592.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,420227.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2017-2018,2
2017.0,427072.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,444246.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2018-2019,0
2018.0,453053.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2018-2019,0
2017.0,371894.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2017-2018,2
2017.0,377049.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2017-2018,2
2018.0,385965.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2018-2019,0
2018.0,392201.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2018-2019,0
2017.0,384881.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2017-2018,2
2017.0,390183.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,402307.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2018-2019,0
2018.0,409880.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,0
2019.0,463654.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2019-2020,0
2019.0,477071.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,500720.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2020-2021,0
2020.0,504330.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2020-2021,0
2019.0,398937.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2019-2020,0
2019.0,416694.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2019-2020,0
2020.0,433843.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2020-2021,0
2020.0,437107.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2020-2021,0
2019.0,418309.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2019-2020,0
2019.0,434675.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,453732.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2020-2021,0
2020.0,457495.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2020-2021,0
2021.0,516003.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,2021-2022,0
2021.0,535133.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,560467.0,LAMPUNG,TOTAL,PERKOTAAN,MARET,,0
2022.0,595992.0,LAMPUNG,TOTAL,PERKOTAAN,SEPTEMBER,,0
2021.0,451211.0,LAMPUNG,TOTAL,PERDESAAN,MARET,2021-2022,0
2021.0,472918.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,2021-2022,0
2022.0,492623.0,LAMPUNG,TOTAL,PERDESAAN,MARET,,0
2022.0,523159.0,LAMPUNG,TOTAL,PERDESAAN,SEPTEMBER,,0
2021.0,471439.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,2021-2022,0
2021.0,492620.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,2021-2022,0
2022.0,514039.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,MARET,,0
2022.0,545992.0,LAMPUNG,TOTAL,PERDESAANPERKOTAAN,SEPTEMBER,,0
2015.0,330178.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,MARET,2015-2016,2
2015.0,362214.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,365938.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,MARET,2016-2017,2
2016.0,387559.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2016-2017,2
2015.0,375657.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,MARET,2015-2016,2
2015.0,406405.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,SEPTEMBER,2015-2016,2
2016.0,409399.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,MARET,2016-2017,2
2016.0,427177.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,SEPTEMBER,2016-2017,2
2015.0,353260.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2015-2016,2
2015.0,384643.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2015-2016,2
2016.0,388454.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2016-2017,2
2016.0,407858.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2016-2017,2
2017.0,400464.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,MARET,2017-2018,2
2017.0,421894.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,442588.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,MARET,2018-2019,0
2018.0,469429.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2018-2019,0
2017.0,449106.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,MARET,2017-2018,2
2017.0,464559.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,SEPTEMBER,2017-2018,2
2018.0,472431.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,MARET,2018-2019,0
2018.0,495542.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,SEPTEMBER,2018-2019,0
2017.0,424845.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2017-2018,2
2017.0,441580.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2017-2018,2
2018.0,457834.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,MARET,2018-2019,0
2018.0,482102.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAANPERKOTAAN,SEPTEMBER,2018-2019,0
2019.0,480596.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,MARET,2019-2020,0
2019.0,504235.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2019-2020,0
2020.0,507398.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,MARET,2020-2021,0
2020.0,511872.0,KEP. BANGKA BELITUNG,MAKANAN,PERKOTAAN,SEPTEMBER,2020-2021,0
2019.0,507100.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,MARET,2019-2020,0
2019.0,541062.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,SEPTEMBER,2019-2020,0
2020.0,543077.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,MARET,2020-2021,0
2020.0,546174.0,KEP. BANGKA BELITUNG,MAKANAN,PERDESAAN,SEPTEMBER,2020-2021,0
